5	7	9	31	43	46
16	17	23	30	39	42
4	14	19	26	35	40
2	18	25	42	44	47
4	5	6	7	13	21
13	17	22	23	28	36
6	7	10	20	40	42
2	11	12	23	29	37
9	12	14	32	37	41
8	11	14	20	36	38
9	14	16	29	31	48
6	13	15	19	43	44
20	21	22	27	37	44
2	8	15	23	25	43
3	15	17	21	22	37
2	4	16	29	44	45
7	8	30	35	39	44
5	11	13	39	42	48
8	22	35	41	43	48
3	9	13	21	23	27
4	19	21	38	39	47
10	21	33	35	36	44
9	11	13	30	41	46
1	6	8	20	22	46
4	17	20	32	35	42
9	14	17	20	27	48
1	19	24	28	39	45
6	7	17	28	37	42
4	13	15	19	26	27
4	6	12	35	36	40
27	34	39	43	44	48
10	20	23	26	31	44
1	6	15	28	47	48
1	8	29	37	42	44
13	17	39	40	44	45
7	10	11	20	23	37
21	27	35	42	45	46
7	12	16	19	30	36
4	12	20	21	30	33
3	19	24	28	30	39
2	9	14	29	34	39
13	17	23	25	40	46
13	23	28	30	35	38
1	13	14	20	21	36
8	19	20	25	37	49
5	10	11	12	33	35
3	4	20	21	28	30
4	12	15	21	34	36
3	5	15	36	44	46
17	23	32	34	46	48
5	9	12	16	19	28
20	25	28	37	44	48
8	18	19	36	38	42
4	9	13	26	41	44
5	7	11	13	21	38
12	20	31	37	41	47
2	10	13	32	37	49
14	15	18	20	29	36
16	24	31	34	37	40
10	12	21	35	40	41
5	14	19	20	25	48
3	12	16	19	22	41
9	13	29	30	32	38
2	14	26	37	38	46
4	22	26	29	45	46
12	17	22	24	29	45
4	8	10	25	28	44
5	12	30	39	43	47
1	9	14	15	18	30
7	16	25	35	41	48
9	31	34	35	40	41
1	13	30	36	38	41
9	27	28	30	45	49
3	7	15	18	26	33
5	7	9	24	44	48
2	6	22	30	37	42
14	15	30	34	35	49
5	14	18	29	36	41
7	12	16	30	34	39
7	15	25	26	34	45
6	24	36	38	44	47
14	17	28	33	40	44
2	7	21	25	32	46
5	8	16	21	43	49
10	18	25	37	40	49
1	8	19	31	41	43
4	5	9	22	47	48
5	14	15	33	40	43
8	15	24	34	38	46
5	10	12	28	40	44
4	5	18	23	26	41
6	16	17	26	30	33
4	9	11	27	28	46
11	18	28	30	43	46
9	28	31	41	43	44
2	10	14	23	25	31
5	9	18	28	33	49
5	8	14	26	32	43
3	10	16	27	45	48
6	11	21	24	44	48
2	5	22	25	27	46
4	12	24	26	29	47
9	13	25	32	37	40
2	27	35	40	45	46
3	8	9	15	22	26
5	14	19	20	26	43
3	9	15	16	33	37
1	10	12	14	31	44
2	8	13	18	25	33
4	20	23	25	27	34
4	5	24	38	39	47
5	8	19	29	30	35
5	8	9	22	30	33
9	10	17	25	37	42
2	12	17	22	27	43
1	6	13	29	35	49
3	18	30	33	34	39
11	15	16	19	30	35
7	17	30	35	36	39
8	9	11	21	25	30
1	4	12	30	32	43
3	16	30	31	38	49
5	9	10	11	22	46
5	10	15	22	31	40
10	11	16	19	26	33
8	9	10	27	35	41
3	5	11	12	28	44
8	15	24	32	38	41
8	9	10	15	38	47
1	2	28	36	43	49
9	10	28	31	44	46
5	22	25	29	30	36
3	23	27	30	31	40
9	10	27	29	38	47
6	26	31	36	37	41
8	27	43	45	46	48
12	13	15	19	25	29
7	17	28	35	44	49
9	16	34	37	40	47
3	6	10	32	33	47
7	8	13	43	47	49
7	11	13	20	35	41
2	3	29	31	35	36
5	10	16	21	27	33
2	13	20	32	41	44
1	4	21	32	38	40
7	9	16	24	40	45
5	16	19	25	40	48
10	11	18	29	31	39
1	5	10	20	41	48
8	11	17	23	40	42
1	4	22	26	28	37
7	8	23	30	33	40
17	34	35	43	46	48
1	8	15	19	26	31
11	24	28	29	40	43
9	10	19	29	35	39
6	9	13	30	40	44
3	7	21	24	37	49
14	25	28	32	36	49
6	9	17	33	41	44
4	17	18	25	31	44
10	11	22	27	31	39
2	15	27	42	43	45
3	22	25	29	45	49
3	4	20	25	30	41
8	13	14	22	25	29
1	12	18	34	39	48
8	20	26	33	43	49
1	5	7	26	32	38
1	4	10	25	31	49
3	9	10	14	33	37
15	16	31	42	45	47
8	10	22	29	31	35
3	16	25	30	31	42
11	14	22	23	32	42
18	19	28	38	43	46
2	9	19	22	40	41
11	12	17	32	33	39
3	18	21	24	33	42
19	30	32	36	41	46
14	15	18	27	28	41
2	22	25	28	42	48
3	6	8	13	20	47
22	25	27	28	34	47
23	32	42	43	46	48
7	12	36	37	39	42
9	10	13	26	28	45
10	17	22	31	36	37
4	5	14	19	26	41
19	20	24	33	40	43
16	24	29	33	35	37
4	22	23	35	42	49
7	21	23	29	30	44
3	10	19	33	41	45
7	21	23	32	35	45
2	15	31	37	40	41
4	19	25	32	33	34
6	8	11	17	30	39
2	7	9	19	21	30
3	14	25	29	37	44
2	16	20	23	34	44
13	18	24	27	38	43
5	18	28	30	34	37
4	24	26	31	42	43
6	12	19	22	43	47
2	15	19	22	32	43
12	15	17	21	29	44
12	16	24	28	30	37
17	19	30	33	40	49
1	4	6	18	23	30
22	30	35	39	41	45
3	7	12	18	28	34
1	6	7	9	16	43
5	6	24	33	34	42
2	26	29	31	36	45
1	4	12	26	28	39
10	14	23	25	44	49
7	9	18	19	31	47
14	15	16	37	42	47
9	13	14	23	24	40
1	3	18	25	41	49
13	21	26	34	41	48
3	14	16	18	31	36
7	12	22	33	34	43
7	20	28	33	34	44
2	16	26	34	40	49
4	6	15	29	41	47
2	19	37	40	43	48
19	28	33	35	38	40
3	17	19	34	39	44
5	23	25	26	32	43
8	14	21	23	28	47
4	6	9	27	44	46
19	22	26	33	37	45
8	14	17	21	39	44
6	20	34	36	40	49
6	11	12	20	25	37
1	8	21	25	37	46
17	21	24	25	32	48
19	29	31	34	37	47
4	14	17	27	29	42
2	22	24	42	47	49
10	30	32	43	46	48
4	14	16	30	37	39
1	2	10	32	42	43
1	22	25	29	31	49
1	9	11	30	35	37
2	16	29	32	47	49
9	15	16	17	21	48
5	9	11	13	20	34
16	21	23	24	32	46
1	4	14	24	31	46
1	15	23	36	40	49
11	29	32	37	43	48
16	21	26	35	48	49
7	8	15	36	38	49
9	10	17	37	38	49
1	3	19	37	43	49
4	12	13	33	44	49
6	10	12	13	15	41
7	8	24	30	36	48
2	3	6	18	37	46
2	9	11	16	39	48
1	2	12	13	26	42
8	11	14	16	40	41
3	6	36	39	43	49
1	5	11	18	24	37
7	16	18	32	39	46
7	15	26	34	40	49
12	19	26	32	36	40
1	17	29	34	44	46
6	7	16	20	28	36
10	18	22	24	26	27
1	8	16	27	30	46
5	11	13	21	40	43
8	19	25	27	33	34
1	16	23	28	29	46
6	7	13	35	47	49
2	3	36	42	43	49
15	17	20	22	23	26
10	11	29	30	45	47
4	19	23	40	41	43
1	26	38	41	47	48
7	8	9	20	37	45
21	22	24	40	45	48
2	4	21	28	33	43
7	23	29	34	36	46
18	23	26	37	45	46
11	21	29	30	44	47
11	17	22	25	29	44
1	4	11	33	34	48
6	11	23	33	34	42
2	4	9	32	42	48
1	4	10	20	25	36
1	5	15	28	32	45
1	3	4	19	30	44
8	10	25	41	43	45
25	30	34	37	39	49
2	24	25	27	28	45
5	14	26	34	35	43
3	4	11	31	41	49
2	14	20	25	44	48
